"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","he-lazy-image src 2","listing-card--owner-info__firm-name","he-icon href","text-ellipsis"
"https://www.hepsiemlak.com/istanbul-gungoren-tozkoparan-kiralik/daire/0-46075095","33","37.000","04-03-2026","Kiralık Daire","3 +
                          1","120 m²","35
                        Yaşında","5. Kat","Sahibinden Taşınmaya Hazır Kiralık 3+1 Daire.","İstanbul / Güngören / Tozkoparan Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-beylikduzu-kavakli-kiralik/daire/137282-25","22","83.500","05-02-2026","Kiralık Daire","4 +
                          1","250 m²","6
                        Yaşında","3. Kat","Azur Marmara Sitesi'nde En Büyük Tip Kiralık 4+1","İstanbul / Beylikdüzü / Kavaklı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kartal-kordonboyu-kiralik/daire/138705-70","51","80.000","04-02-2026","Kiralık Daire","3 +
                          1","140 m²","11
                        Yaşında","6. Kat","Kartal Kordonboyu Eagle Park Sitesi'nde 125 M2 Net 3+1","İstanbul / Kartal / Kordonboyu Mah.","","","","","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-atakent-kiralik/daire/166163-6","23","45.000","06-03-2026","Kiralık Daire","2 +
                          1","94 m²","21
                        Yaşında","Giriş Katı","Soyak Olimpiakent 12. Bölge Full Peyzaj 2+1 Kiralık 94m2 Daire.","İstanbul / Küçükçekmece / Atakent Mah.","","","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-pendik-kurtkoy-kiralik/daire/156046-51","25","40.000","07-03-2026","Kiralık Daire","2 +
                          1","107 m²","Sıfır Bina","3. Kat","Kurtköy Optimum Yenişehir De Büyük 2+1 Balkonlu Kaçmaz Kiralık","İstanbul / Pendik / Kurtköy Mah.","","","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-bahcelievler-yenibosna-merkez-kiralik/daire/110208-3788","47","55.000","04-02-2026","Kiralık Daire","2 +
                          1","94 m²","15
                        Yaşında","1. Kat","Bahçelievler İstwest'te Eşyalı 1.5+1 94m² Kiralık Konut 55.000tl","İstanbul / Bahçelievler / Yenibosna Merkez Mah.","https://www.hepsiemlak.com/emlak-ofisi/ak-gayrimenkul-110208","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ak Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-gultepe-kiralik/daire/164804-63","41","35.000","04-02-2026","Kiralık Daire","2 +
                          1","80 m²","Sıfır Bina","Yüksek Giriş","İmren Gayrimenkulden Kiralık Gültepe Mh. 2+1 Amerikan Mutfaklı Yüksek Giriş","İstanbul / Küçükçekmece / Gültepe Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-zeytinburnu-sumer-kiralik/daire/144683-273","23","75.000","01-03-2026","Kiralık Daire","3 +
                          1","130 m²","3
                        Yaşında","4. Kat","Loca Mahal Sitesi 3+1 ,130 M² Çift Cephe Kiralık Daire","İstanbul / Zeytinburnu / Sümer Mah.","https://www.hepsiemlak.com/emlak-ofisi/dialog-elibol-gayrimenkul-144683/yunus-elibol-4090943","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Dıalog Elibol Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-cekmekoy-sultanciftligi-kiralik/daire/123112-351","48","25.000","03-02-2026","Kiralık Daire","2 +
                          1","85 m²","Sıfır Bina","Bahçe Katı","Çelik Yapı Gayrımenkul Den Çekmeköy Cumhuriyet Mah 2+1 Kiralık Daire","İstanbul / Çekmeköy / Sultançiftliği Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-sahrayi-cedit-kiralik/daire/3433-10168","54","80.000","04-02-2026","Kiralık Daire","3 +
                          1","125 m²","7
                        Yaşında","5. Kat","Atatürk Caddesinde 3+1*kombili Ebeveyn Banyolu Arakat","İstanbul / Kadıköy / Sahrayı Cedit Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-bahcelievler-cobancesme-kiralik/daire/166092-66","33","70.000","12-02-2026","Kiralık Daire","3 +
                          1","140 m²","4
                        Yaşında","1. Kat","--Pasha Grup-- Bahçelievler Modern City De Kiralık 3+1 Balkonlu","İstanbul / Bahçelievler / Çobançeşme Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-umraniye-tantavi-kiralik/daire/0-46055000","18","60.000","01-03-2026","Kiralık Daire","3 +
                          1","130 m²","30
                        Yaşında","2. Kat","Ümraniye Tantavi'de 3+1 Eşyalı","İstanbul / Ümraniye / Tantavi Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-maltepe-zumrutevler-kiralik/daire/132421-26","30","57.000","04-03-2026","Kiralık Daire","2 +
                          1","115 m²","2
                        Yaşında","11. Kat","Elif Ulutaş'tan Tablo Adalarda Full Deniz Manzaralı Kiralık","İstanbul / Maltepe / Zümrütevler Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-kartal-yunus-kiralik/daire/159731-31","35","35.000","01-02-2026","Kiralık Daire","1 +
                          1","65 m²","6
                        Yaşında","10. Kat","Harika Konum Nezih Site Geniş 1+1","İstanbul / Kartal / Yunus Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-buyukcekmece-guzelce-kiralik/daire/0-46049530","29","30.000","01-02-2026","Kiralık Daire","3 +
                          1","150 m²","23
                        Yaşında","Yüksek Giriş","Deniz Manzaralı, Büyük Ferah, Geniş Balkonlu Müstakil Tadında","İstanbul / Büyükçekmece / Güzelce Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-pendik-bati-kiralik/daire/134555-541","47","55.000","31-01-2026","Kiralık Daire","3 +
                          1","100 m²","3
                        Yaşında","2. Kat","Pendik Burnunda 2. Katta Geniş Ve Ferah Kullanımlı 3+1","İstanbul / Pendik / Batı Mah.","https://www.hepsiemlak.com/emlak-ofisi/asil-gayrimenkul-134555/mustafa-yumru-3591100","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Asil Gayrimenkul","",""
"https://www.hepsiemlak.com/istanbul-buyukcekmece-murat-cesme-kiralik/daire/163744-112","18","23.000","02-03-2026","Kiralık Daire","2 +
                          1","105 m²","16
                        Yaşında","Giriş Katı","Kiptaş Mimarsinanda Giriş Kat Güvenlikli Sitede 2+1 Daire","İstanbul / Büyükçekmece / Murat Çeşme Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","[object Object]","Hepsiemlak’ta Yeni Üye"
"https://www.hepsiemlak.com/istanbul-sariyer-yenikoy-kiralik/yali-dairesi/1096-68256","35","380.000","02-03-2026","Kiralık Yalı Dairesi","3 +
                          0","200 m²","31
                        Yaşında","1. Kat","Yeniköy'de 200m2 Muhteşem Manzaralı Emsalsiz Kiralık Yalı Daire","İstanbul / Sarıyer / Yeniköy Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
"https://www.hepsiemlak.com/istanbul-kadikoy-kozyatagi-kiralik/daire/0-46033691","36","90.000","29-01-2026","Kiralık Daire","3 +
                          1","350 m²","20
                        Yaşında","10. Kat","Sahibinden Suadiye Minibüs Yoluna Yakın Deniz Manzaralı Şömüneli Geniş Teraslı 3+1 Kombili Daire","İstanbul / Kadıköy / Kozyatağı Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","",""
