"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","wp-btn","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","he-lazy-image src 2","listing-card--owner-info__name"
"https://www.hepsiemlak.com/istanbul-besiktas-yildiz-kiralik/residence/121012-590","14","140.000","06-03-2026","Kiralık Residence","1 +
                          1","85 m²","Sıfır Bina","2. Kat","Fdn'den Çırağan'da Yeni Bina 1+1 Lüks Eşyalı Kiralık Rezidans","İstanbul / Beşiktaş / Yıldız Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Fdn Gayrimenkul Real Estate","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-atasehir-barbaros-kiralik/daire/113690-409","27","99.000","02-03-2026","Kiralık Daire","1 +
                          1","68 m²","6
                        Yaşında","21 ve üzeri","Batı Ataşehir Andromeda Da Özel Eşyalı 1+1 Finans Şeh.Manzara","İstanbul / Ataşehir / Barbaros Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-basaksehir-bahcesehir-2-kisim-kiralik/daire/92941-5870","22","20.000","06-03-2026","Kiralık Daire","1 +
                          1","68 m²","15
                        Yaşında","14. Kat","Polat Emlak..Boş Taşınmaya Hazır N-Tepede Kiralık 1+1","İstanbul / Başakşehir / Bahçeşehir 2. Kısım Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/polat-emlak-92941","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Polat Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-basaksehir-ziya-gokalp-kiralik/residence/54308-3284","22","30.000","02-03-2026","Kiralık Residence","Stüdyo","53 m²","4
                        Yaşında","15. Kat","Mall Of İstanbul Kiralık Eşyalı 1+0 شقة مفروشة للإيجار","İstanbul / Başakşehir / Ziya Gökalp Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-sancaktepe-ataturk-kiralik/daire/14713-1010","22","27.000","08-03-2026","Kiralık Daire","2 +
                          1","85 m²","10
                        Yaşında","1. Kat","Sancaktepe Demokrası Cadde Parelelinde  Yeni Binada Kiralık  2+1 Daire","İstanbul / Sancaktepe / Atatürk Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/tas-emlak-14713","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Taş Emlak","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Hüseyin
          Taş"
"https://www.hepsiemlak.com/istanbul-kadikoy-caddebostan-kiralik/daire/65998-2034","22","81.000","06-03-2026","Kiralık Daire","3 +
                          1","100 m²","6
                        Yaşında","1. Kat","Caddebostan Bağdata Yakın 80 M2 Net Kiralık Daire","İstanbul / Kadıköy / Caddebostan Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-kagithane-seyrantepe-kiralik/daire/42692-2501","22","36.000","03-03-2026","Kiralık Daire","3 +
                          1","135 m²","32
                        Yaşında","2. Kat","Seyrantepe Mahallesi'nde 3+1 130 Metrekare Kiralık Daire","İstanbul / Kağıthane / Seyrantepe Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-eyupsultan-mithatpasa-kiralik/daire/125847-528","31","165.000","02-03-2026","Kiralık Daire","3 +
                          1","200 m²","Sıfır Bina","Villa Katı","Naturalist Verde’de Sıfır 3+1 – 165m², Sosyal Tesisli, 165.000 Tl  Kiralık Dublek Daire","İstanbul / Eyüpsultan / Mithatpaşa Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/akdaglardan-ozlem-emlak-125847","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Akdağlar'dan Özlem Emlak","https://www.hepsiemlak.com/_nuxt/img/no-image-user.6f6a83e.svg","Özlem
          Gürsan"
"https://www.hepsiemlak.com/istanbul-sancaktepe-abdurrahmangazi-kiralik/daire/1770-23757","31","36.500","05-03-2026","Kiralık Daire","Stüdyo","65 m²","4
                        Yaşında","2. Kat","Sinpaş Metrolife Kiralık Daire 1+1 65 M2 Balkonlu Sancaktepe De","İstanbul / Sancaktepe / Abdurrahmangazi Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/atacity-emlak-1770","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Atacity Emlak","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-sisli-mesrutiyet-kiralik/daire/66846-1671","31","60.000","07-03-2026","Kiralık Daire","1 +
                          1","70 m²","10
                        Yaşında","Bahçe Katı","Valikonağı Paralelinde Otoparklı Genç Binada Bahçe Dubleksi","İstanbul / Şişli / Meşrutiyet Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/mega-city-gayrimenkul-66846/emre-karaduman-1276885","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Mega City Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Emre
          Karaduman"
"https://www.hepsiemlak.com/istanbul-bagcilar-yenimahalle-kiralik/daire/110129-813","13","75.000","01-03-2026","Kiralık Daire","2 +
                          1","116 m²","Sıfır Bina","8. Kat","Avrupa Konutları Yenimahalle 2+1 Daire","İstanbul / Bağcılar / Yenimahalle Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/derya-demirli-gayrimenkul-110129","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Derya Demirli Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-tuzla-yayla-kiralik/daire/138800-438","13","30.000","08-03-2026","Kiralık Daire","2 +
                          1","85 m²","5
                        Yaşında","1. Kat","Ella'dan Tuzla Yayla Mahallesinde 2+1 Arakat Kiralık Daire","İstanbul / Tuzla / Yayla Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/ella-gayrimenkul-danismanlik-138800","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Ella Gayrimenkul Danışmanlık","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg",""
"https://www.hepsiemlak.com/istanbul-kucukcekmece-cennet-kiralik/daire/131618-605","13","34.000","07-03-2026","Kiralık Daire","1 +
                          1","75 m²","2
                        Yaşında","1. Kat","Home Park'tan Cennet Mah.Yeni Bina 1+1 Kiralık Daire","İstanbul / Küçükçekmece / Cennet Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/home-park-131618","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Home Park","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Erkan
          Öz"
"https://www.hepsiemlak.com/istanbul-umraniye-altinsehir-kiralik/daire/164390-15","13","38.000","06-03-2026","Kiralık Daire","1 +
                          1","50 m²","Sıfır Bina","1. Kat","Altınşehir Metro Yakını Full Eşyalı 1+1 Daire","İstanbul / Ümraniye / Altınşehir Mah.","Whatsapp","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","",""
"https://www.hepsiemlak.com/istanbul-esenler-mimar-sinan-kiralik/daire/15370-4421","21","19.000","07-03-2026","Kiralık Daire","1 +
                          1","60 m²","6
                        Yaşında","Bodrum","Esenler Furkan Emlaktan Merkezde Kiralık Bodrum Katı Daire 1+1","İstanbul / Esenler / Mimar Sinan Mah.","Whatsapp","https://www.hepsiemlak.com/emlak-ofisi/furkan-gayrimenkul-15370/veysel-cengiz-15370","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Furkan Gayrimenkul","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Veysel
          Cengiz"
