"img-link href","photo-count","list-view-price","list-view-date","left","celly","celly 2","celly 3","celly 4","list-view-header","list-view-location","img-wrp href","he-lazy-image src","listing-card--owner-info__firm-name","listing-card--owner-info__name","he-lazy-image src 2","img-wrp href 2","he-lazy-image src 3"
"https://www.hepsiemlak.com/istanbul-sisli-gulbahar-kiralik/daire/67450-713","14","20.000","31-12-2025","Kiralık Daire","2 +
                          1","90 m²","20
                        Yaşında","Giriş Katı","2+1 Gülbahar Mecidiyeköy","İstanbul / Şişli / Gülbahar Mah.","https://www.hepsiemlak.com/emlak-ofisi/kumru-emlak-67450","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kumru Emlak","Serhat
          Kaya","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-visnezade-kiralik/residence/121012-786","9","620.000","06-03-2026","Kiralık Residence","3 +
                          1","350 m²","10
                        Yaşında","10. Kat","Fdn'den Maçka Armani Rezidans Kiralık 3.5+1 Bogaz Manzaralı Boş","İstanbul / Beşiktaş / Vişnezade Mah.","https://www.hepsiemlak.com/emlak-ofisi/fdn-gayrimenkul-real-estate-121012","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Fdn Gayrimenkul Real Estate","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-besiktas-kultur-kiralik/daire/2033-4371","9","57.000","25-02-2026","Kiralık Daire","3 +
                          1","125 m²","40
                        Yaşında","Giriş Katı","Kaya Aş Etiler Hareket Sitesinde 3+1 Giriş Dubleks 120 M2 Daire","İstanbul / Beşiktaş / Kültür Mah.","https://www.hepsiemlak.com/emlak-ofisi/kaya-emlak-insaat-as-2033/yalcin-kaya-2033","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Kaya Emlak İnşaat A.Ş.","Yalçın
          Kaya","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/kaya-emlak-insaat-as-2033","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-uskudar-unalan-kiralik/daire/1757-3423","24","204.000","04-02-2026","Kiralık Daire","3 +
                          1","177 m²","3
                        Yaşında","20. Kat","Emaar Adress Hotel 'de Kiralık Full Eşyalı 3+1 Daire","İstanbul / Üsküdar / Ünalan Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-alkent-1757/mahdis-emami-2826887","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Alkent","Mahdis
          Emami","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/remax-alkent-1757","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-tuzla-tepeoren-kiralik/villa/6738-20444","31","135.000","06-01-2026","Kiralık Villa","4 +
                          1","220 m²","Sıfır Bina","Bahçe Katı","Tepeören 360 Villas 'da Kiralık Sıfır Müstakil 4+1 Villa","İstanbul / Tuzla / Tepeören Mah.","https://www.hepsiemlak.com/emlak-ofisi/era-joy-6738","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Era Joy","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-fatih-iskenderpasa-kiralik/daire/110910-568","10","24.000","07-03-2026","Kiralık Daire","2 +
                          1","70 m²","31
                        Yaşında","Giriş Katı","İskender Paşa Da 2+1 Historia Awm Arka Tarafı Kiralık Daire","İstanbul / Fatih / İskenderpaşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/ina-group-110910","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","İna Group","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
"https://www.hepsiemlak.com/istanbul-kagithane-mehmet-akif-ersoy-kiralik/daire/95585-4737","14","35.000","07-02-2026","Kiralık Daire","3 +
                          1","140 m²","6
                        Yaşında","3. Kat","Para'dn Kağıthane Kiralık 3+1 Dubleks Daire","İstanbul / Kağıthane / Mehmet Akif Ersoy Mah.","https://www.hepsiemlak.com/emlak-ofisi/paranin-merkezi-gayrimenkul-95585/engin-yilmazturk-1992335","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Paranın Merkezi Gayrimenkul","Engin
          Yılmaztürk","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/paranin-merkezi-gayrimenkul-95585","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg"
"https://www.hepsiemlak.com/istanbul-kartal-cumhuriyet-kiralik/daire/23950-547","26","35.000","01-02-2026","Kiralık Daire","3 +
                          1","125 m²","26
                        Yaşında","2. Kat","Kartal Köprüsü Metrosuna Yürüme Ulaşımsüper Bekarada Uygun","İstanbul / Kartal / Cumhuriyet Mah.","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","","","","",""
"https://www.hepsiemlak.com/istanbul-umraniye-finanskent-kiralik/daire/163263-114","34","87.000","23-02-2026","Kiralık Daire","3 +
                          1","138 m²","Sıfır Bina","6. Kat","Sinpaş Koru Aura'da 3+1 Kiralık Daire","İstanbul / Ümraniye / Finanskent Mah.","https://www.hepsiemlak.com/emlak-ofisi/remax-hazine-163263/ali-akman-4560965","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Remax Hazine","Ali
          Akman","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","https://www.hepsiemlak.com/emlak-ofisi/remax-hazine-163263","https://www.hepsiemlak.com/img/loadings/noImage55-55.png"
"https://www.hepsiemlak.com/istanbul-esenyurt-barbaros-hayrettin-pasa-kiralik/daire/145353-250","16","23.000","29-01-2026","Kiralık Daire","2 +
                          1","120 m²","4
                        Yaşında","2. Kat","Metrobüse Yürüme Mesafesı Barbaros Hayrettın Paşa’da Full Eşyalı Lüks Daıre","İstanbul / Esenyurt / Barbaros Hayrettin Paşa Mah.","https://www.hepsiemlak.com/emlak-ofisi/rota-yapi-gayrimenkul-145353","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","Rota Yapı Gayrimenkul","","https://www.hepsiemlak.com/_nuxt/8cafc93fb5c74c75e9e04e528e02ccdf.jpg","",""
