area,room,living_room,age,floor,city,district,neighbourhood,price
35,3,1,20,5,istanbul,pendik,guzelyali,17000
75,2,1,15,6,istanbul,esenyurt,yenikent,14000
130,3,1,25,1,istanbul,tuzla,cami,37500
75,2,1,0,2,istanbul,kagithane,talatpasa,37000
135,3,1,6,0,istanbul,esenyurt,barbaros hayrettin pasa,15000
100,2,1,11,3,istanbul,kagithane,celiktepe,30000
130,3,1,0,3,istanbul,kucukcekmece,gultepe,105000
110,2,1,30,0,istanbul,sariyer,kazim karabekir pasa,50000
120,3,1,45,1,istanbul,besiktas,kultur,40000
122,2,1,11,2,istanbul,cekmekoy,tasdelen,45000
98,2,1,0,4,istanbul,tuzla,istasyon,61000
80,2,1,31,0,istanbul,kartal,orhantepe,34000
75,2,1,26,4,istanbul,basaksehir,basak,26500
110,2,1,0,1,istanbul,sariyer,maden,73000
196,4,1,6,8,istanbul,gaziosmanpasa,mevlana,96000
70,1,1,5,3,istanbul,sariyer,ayazaga,65000
100,2,1,31,2,istanbul,uskudar,ferah,26000
103,2,1,1,9,istanbul,basaksehir,kayabasi,50000
170,3,1,8,3,istanbul,beylikduzu,marmara,75000
69,2,1,11,5,istanbul,basaksehir,kayabasi,35000
159,3,1,0,0,istanbul,cekmekoy,gungoren,80000
80,2,1,26,1,istanbul,beyoglu,kuloglu,45000
100,2,1,26,2,istanbul,cekmekoy,mehmet akif,27000
140,3,1,6,8,istanbul,kadikoy,sahrayi cedit,95000
160,3,1,15,2,istanbul,beykoz,soguksu,110000
125,3,1,0,2,istanbul,tuzla,istasyon,65000
50,1,1,2,2,istanbul,eyupsultan,mithatpasa,36000
110,2,1,27,0,istanbul,tuzla,istasyon,31000
55,1,1,1,3,istanbul,silivri,mimar sinan,19500
118,2,1,8,8,istanbul,sancaktepe,eyup sultan,45000
130,3,1,30,3,istanbul,sisli,tesvikiye,65000
80,2,1,29,0,istanbul,kagithane,sultan selim,18100
140,3,1,25,2,istanbul,maltepe,idealtepe,47950
65,2,1,35,5,istanbul,maltepe,zumrutevler,25000
90,1,1,10,8,istanbul,sariyer,maslak,60000
65,1,1,10,10,istanbul,esenyurt,piri reis,25000
65,1,1,8,1,istanbul,kagithane,sirintepe,26000
95,2,1,20,4,istanbul,kagithane,talatpasa,45000
100,2,1,21,4,istanbul,besiktas,yildiz,90000
125,3,1,3,3,istanbul,kadikoy,erenkoy,95000
70,1,1,50,1,istanbul,beyoglu,gumussuyu,39000
85,2,1,11,1,istanbul,esenyurt,yesilkent,13000
85,2,1,6,5,istanbul,sisli,gulbahar,48000
70,1,1,50,1,istanbul,beyoglu,katip mustafa celebi,39000
150,3,1,31,4,istanbul,besiktas,nisbetiye,100000
150,4,1,35,1,istanbul,bakirkoy,sakizagaci,70000
82,1,1,6,5,istanbul,sariyer,maslak,72000
120,2,1,35,2,istanbul,kagithane,ortabayir,60000
115,2,1,11,3,istanbul,sancaktepe,ataturk,23000
87,2,1,21,9,istanbul,basaksehir,basak,32000
125,3,1,0,1,istanbul,tuzla,istasyon,60000
155,3,1,21,1,istanbul,beylikduzu,baris,33000
90,2,1,6,4,istanbul,sultanbeyli,adil,25000
120,2,1,0,7,istanbul,kagithane,hamidiye,50000
115,2,1,26,0,istanbul,beyoglu,piyalepasa,26000
120,3,1,26,3,istanbul,atasehir,icerenkoy,41000
100,2,1,11,0,istanbul,sile,cayirbasi,20000
130,3,1,26,4,istanbul,besiktas,muradiye,42000
90,2,1,26,4,istanbul,umraniye,ataturk,30000
70,2,1,5,1,istanbul,kagithane,gultepe,30250
75,2,1,30,2,istanbul,kagithane,ortabayir,25000
140,3,1,6,1,istanbul,beyoglu,sahkulu,93000
110,3,1,31,1,istanbul,pendik,esenyali,25000
110,3,1,31,1,istanbul,pendik,esenyali,25000
100,3,1,16,2,istanbul,umraniye,site,35000
140,3,1,16,3,istanbul,umraniye,tatlisu,48000
85,1,1,6,0,istanbul,sile,balibey,32000
80,2,1,5,1,istanbul,kagithane,sirintepe,28000
105,3,1,16,-1,istanbul,cekmekoy,mimar sinan,24500
95,2,1,31,0,istanbul,fatih,silivrikapi,20000
85,2,1,27,5,istanbul,esenler,tuna,12500
60,2,1,14,1,istanbul,pendik,camlik,28000
85,2,1,14,5,istanbul,esenyurt,pinar,16500
140,3,1,17,6,istanbul,sisli,gulbahar,17000
120,3,1,40,1,istanbul,buyukcekmece,guzelce,38000
130,3,1,16,5,istanbul,umraniye,camlik,45000
80,2,1,0,2,istanbul,maltepe,altintepe,52000
95,2,1,6,3,istanbul,esenyurt,ornek,23000
75,1,1,29,0,istanbul,besiktas,ulus,33000
70,2,1,40,2,istanbul,beyoglu,firuzaga,55000
23,1,1,13,1,istanbul,atasehir,inonu,13500
110,3,1,26,4,istanbul,uskudar,cengelkoy,40000
70,1,1,25,2,istanbul,adalar,maden,35000
180,4,1,26,6,istanbul,kadikoy,sahrayi cedit,85000
70,2,1,6,5,istanbul,sisli,mecidiyekoy,37000
90,2,1,31,1,istanbul,pendik,yenisehir,27500
150,3,1,0,3,istanbul,fatih,silivrikapi,70000
100,2,1,31,1,istanbul,kadikoy,osmanaga,50000
125,3,1,35,1,istanbul,besiktas,etiler,55000
65,1,1,31,-1,istanbul,umraniye,armaganevler,14000
75,2,1,6,1,istanbul,umraniye,esenkent,20000
135,3,1,6,2,istanbul,sancaktepe,yenidogan,31000
90,2,1,21,3,istanbul,tuzla,istasyon,22500
90,2,1,6,1,istanbul,esenyurt,turgut ozal,26000
55,1,1,5,4,istanbul,zeytinburnu,maltepe,34000
130,3,1,26,5,istanbul,esenler,orucreis,17000
150,3,1,20,2,istanbul,uskudar,bulgurlu,45000
116,2,1,0,2,istanbul,umraniye,finanskent,75000
80,2,1,11,1,istanbul,bagcilar,baglar,45000
81,2,1,6,10,istanbul,atasehir,kayisdagi,43000
75,1,1,5,10,istanbul,kagithane,talatpasa,30500
120,2,1,21,3,istanbul,atasehir,kayisdagi,38000
70,2,1,28,5,istanbul,kadikoy,osmanaga,45000
80,2,1,32,4,istanbul,kadikoy,rasimpasa,45000
70,2,1,31,4,istanbul,fatih,seyyid omer,19000
85,2,1,29,1,istanbul,beyoglu,haciahmet,20000
100,2,1,15,0,istanbul,basaksehir,guvercintepe,15000
90,2,1,5,1,istanbul,silivri,canta balaban,20000
125,3,1,6,1,istanbul,esenler,fevzi cakmak,47000
90,2,1,15,3,istanbul,maltepe,findikli,32000
80,2,1,6,-1,istanbul,maltepe,findikli,25000
85,1,1,0,-2,istanbul,eyupsultan,gokturk merkez,60000
75,2,1,0,6,istanbul,kagithane,talatpasa,37000
87,2,1,8,1,istanbul,besiktas,yildiz,67000
135,3,1,12,5,istanbul,esenyurt,inonu,21000
75,2,1,10,2,istanbul,silivri,yeni,17000
120,3,1,35,2,istanbul,uskudar,sultantepe,67000
65,1,1,5,10,istanbul,bagcilar,mahmutbey,32500
80,1,1,0,3,istanbul,sisli,tesvikiye,85000
80,1,1,6,0,istanbul,kucukcekmece,ataturk,18500
110,2,1,30,0,istanbul,besiktas,abbasaga,39000
90,2,1,5,1,istanbul,arnavutkoy,karlibayir,30000
77,1,1,6,0,istanbul,esenyurt,koza,30500
80,2,1,6,9,istanbul,atasehir,kayisdagi,55000
60,1,1,6,9,istanbul,tuzla,aydinli,25000
115,3,1,0,0,istanbul,pendik,cinardere,38000
90,2,1,6,2,istanbul,cekmekoy,tasdelen,34000
80,2,1,3,1,istanbul,tuzla,icmeler,27000
70,2,1,3,1,istanbul,sisli,mecidiyekoy,33000
85,2,1,11,1,istanbul,cekmekoy,kirazlidere,26000
90,2,1,15,0,istanbul,sariyer,camlitepe,35000
85,2,1,25,4,istanbul,sisli,mecidiyekoy,30000
105,2,1,2,2,istanbul,cekmekoy,merkez,39000
70,1,1,25,-2,istanbul,kagithane,gultepe,15000
60,1,1,9,6,istanbul,cekmekoy,camlik,25000
50,1,1,29,0,istanbul,kagithane,sultan selim,18000
80,2,1,11,1,istanbul,cekmekoy,mehmet akif,32500
100,2,1,25,2,istanbul,sisli,bozkurt,60000
75,2,1,20,1,istanbul,kagithane,sultan selim,25500
100,2,1,16,2,istanbul,kagithane,yahya kemal,22000
120,1,1,35,0,istanbul,besiktas,konaklar,25000
105,2,1,50,3,istanbul,sisli,mesrutiyet,54000
80,2,1,1,2,istanbul,besiktas,dikilitas,60000
60,1,1,5,1,istanbul,eyupsultan,circir,22000
155,3,1,0,3,istanbul,sariyer,tarabya,75000
110,3,1,40,1,istanbul,beyoglu,gumussuyu,42000
90,2,1,26,0,istanbul,gaziosmanpasa,karadeniz,22000
125,3,1,9,8,istanbul,kadikoy,kozyatagi,98000
90,2,1,1,4,istanbul,sultanbeyli,aksemsettin,32000
160,3,1,6,4,istanbul,esenyurt,suleymaniye,24000
75,2,1,50,5,istanbul,kadikoy,hasanpasa,40000
45,1,1,11,0,istanbul,atasehir,kucukbakkalkoy,26000
70,1,1,40,5,istanbul,fatih,aksemsettin,23000
95,2,1,0,5,istanbul,basaksehir,guvercintepe,27000
55,1,1,40,3,istanbul,fatih,ayvansaray,28000
210,4,1,11,3,istanbul,kucukcekmece,atakent,90000
100,2,1,11,4,istanbul,esenyurt,cinar,18000
55,1,1,10,3,istanbul,kagithane,ortabayir,40000
117,2,1,15,3,istanbul,kagithane,telsizler,41000
130,2,1,26,2,istanbul,sancaktepe,meclis,28500
75,2,1,3,0,istanbul,eyupsultan,circir,30500
95,2,1,0,2,istanbul,sultanbeyli,orhangazi,28000
125,3,1,31,4,istanbul,bahcelievler,zafer,28000
67,1,1,6,0,istanbul,gungoren,mehmet nesih ozmen,52500
70,1,1,0,2,istanbul,kagithane,hamidiye,40000
140,3,1,21,4,istanbul,umraniye,yamanevler,31500
